ID,RA,Dec,k80mag,e80mag,Jmag,eJmag,jMINUSeightzero,ERRORjMINUSeightzero
15354,296.22613,-14.87856,16.82,0.24,19.079,0.13,2.259,0.272946881
15358,296.17628,-14.75235,16.13,0.23,18.92,0.114,2.79,0.256702162
15361,296.13673,-14.77385,16.13,0.11,19.296,0.156,3.166,0.190882163
15363,296.32368,-14.81461,16.12,0.13,19.01,0.099,2.89,0.163404406
15364,296.13278,-14.77816,16.39,0.24,18.84,0.107,2.45,0.262771764
15365,296.20882,-14.78925,16.71,0.3,19.093,0.134,2.383,0.328566584
15366,296.29326,-14.77694,16.33,0.12,18.959,0.116,2.629,0.166901168
15367,296.34141,-14.88043,16.58,0.24,18.98,0.096,2.4,0.258487911
15372,296.33711,-14.8794,16,0.11,19.239,0.119,3.239,0.162052461
15386,296.07622,-14.74585,16.34,0.17,18.946,0.132,2.606,0.215230109
15390,296.2344,-14.94875,14.4,0.2,19.207,0.142,4.807,0.245283509
15391,296.20916,-14.69455,16.45,0.23,18.896,0.106,2.446,0.253250864
15392,296.20207,-14.78148,15.6,0.11,19.011,0.124,3.411,0.165758861
15394,296.19408,-14.87757,15.88,0.11,18.599,0.087,2.719,0.140246212
15400,296.0975,-14.94026,15.34,0.22,19.024,0.124,3.684,0.252539106
15405,296.09391,-14.89463,16.59,0.21,18.222,0.064,1.632,0.219535874
15408,296.29511,-14.91285,15.48,0.14,19.125,0.133,3.645,0.193103599
15411,296.2817,-14.68473,16.44,0.2,18.525,0.077,2.085,0.214310522
15412,296.1214,-14.76336,16.42,0.24,18.9,0.112,2.48,0.264847126
15417,296.35627,-14.72322,16.9,0.3,18.982,0.096,2.082,0.314985714
15418,296.18002,-14.78688,17.07,0.25,19.416,0.173,2.346,0.304021381
15424,296.18075,-14.76143,16.35,0.11,18.782,0.101,2.432,0.149335193
15425,296.11782,-14.94772,15.68,0.17,18.639,0.09,2.959,0.192353841
15426,296.33827,-14.83595,15.79,0.14,18.798,0.083,3.008,0.162754416
15430,296.28734,-14.93034,16.7,0.28,18.767,0.099,2.067,0.296986532
15433,296.30175,-14.83673,16.6,0.23,19.134,0.134,2.534,0.266187904
15434,296.10032,-14.76211,16.48,0.17,18.898,0.112,2.418,0.203577995
15440,296.26539,-14.81098,16.51,0.28,19.252,0.15,2.742,0.317647603
15443,296.20376,-14.82572,16.47,0.23,18.995,0.123,2.525,0.260823695
15444,296.3507,-14.72444,16.85,0.3,18.749,0.079,1.899,0.310227336
15445,296.2181,-14.9131,15.92,0.2,18.651,0.091,2.731,0.219729379
15449,296.23882,-14.83848,16.55,0.29,18.637,0.091,2.087,0.303942429
15451,296.29732,-14.74089,16.62,0.24,18.715,0.095,2.095,0.25811819
15452,296.09965,-14.83356,16.42,0.17,18.954,0.118,2.534,0.206939605
15456,296.39164,-14.82523,16.14,0.16,19.187,0.114,3.047,0.196458647
15458,296.20065,-14.87101,14.91,0.12,19.01,0.123,4.1,0.171840042
15459,296.19679,-14.73985,16.88,0.21,19.03,0.125,2.15,0.244386988
15466,296.20682,-14.81882,16.57,0.19,19.398,0.172,2.828,0.256288899
15469,296.28831,-14.93396,16.43,0.26,18.552,0.083,2.122,0.27292673
15471,296.31207,-14.80596,16.14,0.14,19.222,0.145,3.082,0.201556444
15474,296.29495,-14.76654,16.35,0.22,18.854,0.106,2.504,0.244204832
15482,296.11027,-14.7704,16.45,0.24,19.084,0.131,2.634,0.273424578
15483,296.33971,-14.65433,15.93,0.15,18.716,0.094,2.786,0.177019773
15486,296.29442,-14.85271,16.34,0.16,19.05,0.125,2.71,0.203039405
15489,296.24689,-14.82195,15.24,0.1,19.184,0.143,3.944,0.174496418
15492,296.27085,-14.89806,16.69,0.17,19.076,0.129,2.386,0.213403374
15503,296.07577,-14.8273,15.96,0.22,18.753,0.113,2.793,0.247323675
15509,296.27525,-14.74535,15.97,0.2,18.995,0.12,3.025,0.233238076
15510,296.35207,-14.71225,16.57,0.25,18.983,0.119,2.413,0.276877229
15513,296.21342,-14.75355,16.71,0.26,19.134,0.137,2.424,0.293886032
15526,296.33075,-14.88443,16.42,0.19,19.075,0.104,2.655,0.216601016
15527,296.21851,-14.78193,16.91,0.29,19.072,0.131,2.162,0.318215336
15529,296.16777,-14.72933,16.67,0.3,18.775,0.101,2.105,0.316545415
15534,296.19577,-14.67701,16.65,0.22,18.706,0.09,2.056,0.237697286
15541,296.33219,-14.73866,16.33,0.17,18.848,0.086,2.518,0.190515091
15542,296.11371,-14.84983,16.07,0.11,18.356,0.072,2.286,0.131468627
