ID,CMD3region,RA,Dec,k36mag,e36mag,k80mag,e80mag,threesixMINUSeightzero,ERRORthreesixMINUSeightzero
6768,5,296.2755,-14.72357,17.16,0.09,13.54,0.11,3.62,0.142126704
6805,5,296.29805,-14.90914,17.38,0.07,14.42,0.07,2.96,0.098994949
6815,5,296.23903,-14.89639,16.57,0.2,14.12,0.05,2.45,0.206155281
6835,5,296.42406,-14.81561,17.93,0.17,14.65,0.07,3.28,0.183847763
6855,5,296.29229,-14.80642,16.81,0.04,13.81,0.03,3,0.05
6862,5,296.25159,-14.78449,16.73,0.05,14.66,0.1,2.07,0.111803399
6918,5,296.13527,-14.73248,17.02,0.06,14.59,0.06,2.43,0.084852814
6950,5,296.26195,-14.78381,16.73,0.07,14.52,0.07,2.21,0.098994949
6975,5,296.25181,-14.78694,17.54,0.1,14.66,0.07,2.88,0.122065556
6994,5,296.1233,-14.91156,16.93,0.08,14.2,0.03,2.73,0.085440037
7048,5,296.22415,-14.71858,17.06,0.07,13.19,0.1,3.87,0.122065556
7049,5,296.24002,-14.79479,16.7,0.04,13.5,0.1,3.2,0.107703296
7050,5,296.03997,-14.78269,17.62,0.15,14.87,0.06,2.75,0.161554944
7078,5,296.16284,-14.85613,16.78,0.07,12.93,0.06,3.85,0.092195445
7095,5,296.06964,-14.90924,17.15,0.04,14.77,0.09,2.38,0.098488578
7117,5,296.18826,-14.92653,16.83,0.07,14.3,0.08,2.53,0.106301458
7129,5,296.2323,-14.842,16.78,0.09,14.05,0.1,2.73,0.13453624
7174,5,296.21066,-14.88047,16.93,0.06,13.26,0.09,3.67,0.108166538
7193,5,296.38922,-14.68109,17.13,0.18,13.48,0.12,3.65,0.216333077
7233,5,296.21344,-14.7177,17.44,0.11,13.56,0.08,3.88,0.136014705
7267,5,296.41034,-14.76019,16.9,0.11,13.93,0.07,2.97,0.130384048
7270,5,296.36048,-14.74296,16.92,0.07,14.35,0.07,2.57,0.098994949
7292,5,296.19883,-14.87412,17.15,0.09,13.42,0.11,3.73,0.142126704
7297,5,296.35883,-14.68218,17.14,0.06,14.42,0.08,2.72,0.1
7303,5,296.21981,-14.72287,17.41,0.09,13.67,0.11,3.74,0.142126704
7320,5,296.22045,-14.7798,16.85,0.13,14.55,0.04,2.3,0.136014705
7441,5,296.25115,-14.76404,17.18,0.06,12.79,0.02,4.39,0.063245553
7445,5,296.22333,-14.71739,17.17,0.06,14.37,0.08,2.8,0.1
7465,5,296.13761,-14.70558,16.99,0.09,13.23,0.04,3.76,0.098488578
7483,5,296.11331,-14.90276,17.38,0.07,14.68,0.08,2.7,0.106301458
7518,5,296.14609,-14.92202,17.01,0.07,14.21,0.07,2.8,0.098994949
7571,5,296.30314,-14.73977,17.34,0.08,14.26,0.06,3.08,0.1
7575,5,296.26283,-14.78343,16.85,0.05,14.62,0.1,2.23,0.111803399
7591,5,296.24477,-14.92287,17.37,0.05,14.71,0.07,2.66,0.086023253
7603,5,296.20884,-14.8765,16.77,0.04,14.64,0.11,2.13,0.117046999
7618,5,296.25347,-14.89851,17.42,0.07,14.61,0.09,2.81,0.114017543
7626,5,296.24413,-14.79059,17.1,0.13,13.99,0.1,3.11,0.164012195
7660,5,296.07576,-14.73504,17.53,0.07,14.46,0.06,3.07,0.092195445
7665,5,296.23813,-14.79468,17.19,0.07,14.29,0.08,2.9,0.106301458
7716,5,296.26886,-14.71821,16.96,0.05,14.12,0.08,2.84,0.094339811
7796,5,296.21023,-14.88018,16.94,0.09,12.73,0.05,4.21,0.102956301
7809,5,296.20854,-14.85139,17.05,0.09,14.04,0.07,3.01,0.114017543
7831,5,296.1375,-14.79314,17.78,0.09,14.39,0.05,3.39,0.102956301
7887,5,296.12867,-14.7093,17.43,0.08,14.83,0.05,2.6,0.094339811
7939,5,296.28814,-14.80977,17.08,0.07,14.61,0.14,2.47,0.156524758
