ID,RA,Dec,k36mag,e36mag,Jmag,eJmag,jMINUSthreesix,ERRORjMINUSthreesix
12242,296.331,-14.77919,17.54,0.06,18.896,0.09,1.356,0.108166538
12245,296.15948,-14.85706,17.65,0.07,18.01,0.054,0.36,0.088408144
12246,296.09219,-14.95545,17.54,0.07,17.995,0.052,0.455,0.087200917
12247,296.18215,-14.72649,17.45,0.05,18.845,0.107,1.395,0.118105885
12248,296.21843,-14.84682,17.37,0.08,18.618,0.089,1.248,0.119670381
12250,296.13143,-14.74388,17.87,0.06,18.717,0.096,0.847,0.113207774
12252,296.29004,-14.89674,17.75,0.09,18.447,0.076,0.697,0.117796435
12253,296.17941,-14.76299,17.33,0.05,18.647,0.091,1.317,0.103831594
12254,296.04234,-14.78491,17.53,0.06,18.754,0.113,1.224,0.127941393
12256,296.24948,-14.80928,17.4,0.06,18.451,0.077,1.051,0.097616597
12257,296.12679,-14.86735,17.55,0.07,18.417,0.075,0.867,0.102591423
12258,296.26166,-14.83915,17.47,0.06,18.339,0.07,0.869,0.092195445
12259,296.37461,-14.73194,17.61,0.07,18.022,0.044,0.412,0.082680106
12260,296.33208,-14.67708,17.41,0.07,18.691,0.093,1.281,0.116400172
12261,296.14337,-14.67436,17.52,0.09,18.681,0.088,1.161,0.125872952
12262,296.37124,-14.92443,17.44,0.06,18.588,0.07,1.148,0.092195445
12263,296.27116,-14.89653,17.55,0.06,18.377,0.072,0.827,0.093722996
12264,296.34565,-14.68679,17.45,0.06,18.741,0.097,1.291,0.114057003
12267,296.23511,-14.71253,17.62,0.07,18.709,0.091,1.089,0.114808536
12268,296.14893,-14.93079,17.62,0.06,18.449,0.077,0.829,0.097616597
12270,296.17458,-14.87335,17.33,0.06,18.663,0.092,1.333,0.109836242
12272,296.22241,-14.87311,17.32,0.07,17.707,0.042,0.387,0.081633327
12277,296.23225,-14.75065,17.37,0.06,18.417,0.075,1.047,0.096046864
12282,296.2193,-14.88848,17.36,0.06,18.683,0.093,1.323,0.1106752
12286,296.29578,-14.80507,17.52,0.07,19.055,0.126,1.535,0.144138822
12287,296.2443,-14.93888,17.42,0.06,18.192,0.062,0.772,0.086278618
12288,296.26875,-14.66188,17.57,0.05,18.084,0.053,0.514,0.072862885
12289,296.28024,-14.82451,17.61,0.05,19.202,0.144,1.592,0.152433592
12290,296.14514,-14.94141,17.39,0.06,18.553,0.083,1.163,0.102415819
12291,296.40507,-14.81922,17.12,0.04,17.729,0.035,0.609,0.053150729
