ID,CMD1region,RA,Dec,Jmag,eJmag,Kmag,eKmag,jMINUSk,ERRORjMINUSk
3113,1,296.33907,-14.92876,16.424,0.014,16.055,0.018,0.369,0.022803509
3120,1,296.39056,-14.81266,16.63,0.016,16.181,0.02,0.449,0.025612497
3123,1,296.08261,-14.77346,16.619,0.02,16.045,0.021,0.574,0.029
3127,1,296.06877,-14.87397,16.225,0.016,15.831,0.016,0.394,0.022627417
3137,1,296.25543,-14.90707,16.373,0.015,15.968,0.018,0.405,0.023430749
3144,1,296.18626,-14.70602,16.531,0.016,15.983,0.016,0.548,0.022627417
3150,1,296.17183,-14.93935,16.411,0.016,15.986,0.018,0.425,0.024083189
3157,1,296.23826,-14.78722,16.439,0.016,16.051,0.019,0.388,0.024839485
3165,1,296.43266,-14.87862,16.649,0.016,16.153,0.02,0.496,0.025612497
3175,1,296.13139,-14.87442,16.491,0.017,15.911,0.017,0.58,0.024041631
3177,1,296.12403,-14.6743,16.459,0.015,16.02,0.017,0.439,0.022671568
3183,1,296.23225,-14.87787,16.484,0.017,16.172,0.021,0.312,0.027018512
3189,1,296.27842,-14.81401,16.583,0.018,16.058,0.019,0.525,0.026172505
3198,1,296.28415,-14.839,16.265,0.014,15.988,0.018,0.277,0.022803509
3199,1,296.33787,-14.76552,16.384,0.014,16,0.018,0.384,0.022803509
3205,1,296.1422,-14.96303,16.306,0.015,16.095,0.022,0.211,0.026627054
3208,1,296.13527,-14.84854,16.362,0.015,16.095,0.02,0.267,0.025
3212,1,296.25671,-14.91121,16.061,0.012,16.044,0.019,0.017,0.022472205
3214,1,296.06579,-14.93546,16.444,0.018,15.847,0.016,0.597,0.024083189
3222,1,296.14054,-14.72438,16.217,0.013,15.863,0.015,0.354,0.019849433
3227,1,296.09146,-14.87419,16.206,0.014,15.916,0.017,0.29,0.022022716
3228,1,296.42275,-14.90859,16.504,0.015,16.152,0.02,0.352,0.025
3235,1,296.24443,-14.79526,16.353,0.015,16.019,0.019,0.334,0.024207437
3236,1,296.16684,-14.90267,16.592,0.018,16.111,0.02,0.481,0.026907248
3238,1,296.07522,-14.68236,16.555,0.018,16.167,0.019,0.388,0.026172505
3240,1,296.36428,-14.74833,16.529,0.015,16.17,0.02,0.359,0.025
3250,1,296.36995,-14.71679,16.449,0.015,16.103,0.018,0.346,0.023430749
3255,1,296.27864,-14.65111,16.443,0.015,16.075,0.018,0.368,0.023430749
3258,1,296.16562,-14.86418,16.541,0.017,16.018,0.019,0.523,0.025495098
3259,1,296.23608,-14.85503,16.524,0.017,16.222,0.022,0.302,0.027802878
3265,1,296.19864,-14.73684,16.49,0.017,16.199,0.022,0.291,0.027802878
3271,1,296.41987,-14.75703,16.679,0.017,16.32,0.022,0.359,0.027802878
3272,1,296.23191,-14.76907,16.29,0.015,16.21,0.022,0.08,0.026627054
3280,1,296.29557,-14.72976,16.522,0.017,16.231,0.029,0.291,0.033615473
3282,1,296.04613,-14.80194,16.48,0.019,15.971,0.018,0.509,0.026172505
3284,1,296.12835,-14.66656,16.653,0.017,16.15,0.019,0.503,0.025495098
3286,1,296.14354,-14.86442,16.415,0.016,16.089,0.02,0.326,0.025612497
3290,1,296.23726,-14.66922,16.659,0.018,16.087,0.018,0.572,0.025455844
3292,1,296.25617,-14.93581,16.474,0.016,16.097,0.02,0.377,0.025612497
3300,1,296.38994,-14.85012,16.471,0.014,15.974,0.017,0.497,0.022022716
3302,1,296.4133,-14.86125,16.716,0.017,16.127,0.019,0.589,0.025495098
3303,1,296.15395,-14.80307,16.484,0.017,16.044,0.019,0.44,0.025495098
3304,1,296.32188,-14.9025,16.594,0.016,16.005,0.018,0.589,0.024083189
3316,1,296.32807,-14.79823,16.502,0.015,16.05,0.018,0.452,0.023430749
3322,1,296.2146,-14.93032,16.41,0.016,15.978,0.018,0.432,0.024083189
3325,1,296.30278,-14.90192,16.618,0.018,16.046,0.019,0.572,0.026172505
3327,1,296.07101,-14.79631,16.291,0.016,15.888,0.018,0.403,0.024083189
3333,1,296.34668,-14.86991,16.261,0.013,15.905,0.016,0.356,0.020615528
3340,1,296.38814,-14.9074,16.424,0.014,15.945,0.017,0.479,0.022022716
3350,1,296.36338,-14.90467,16.506,0.015,16.035,0.018,0.471,0.023430749
3351,1,296.37405,-14.68248,16.584,0.016,16.117,0.018,0.467,0.024083189
3352,1,296.17243,-14.83268,16.658,0.019,16.233,0.022,0.425,0.029068884
3357,1,296.23286,-14.75769,16.719,0.02,16.166,0.021,0.553,0.029
3373,1,296.18766,-14.93366,16.531,0.017,15.957,0.018,0.574,0.024758837
3377,1,296.13759,-14.70353,16.603,0.017,16.158,0.019,0.445,0.025495098
3378,1,296.18013,-14.7258,16.523,0.017,16.054,0.019,0.469,0.025495098
3381,1,296.37761,-14.77111,16.471,0.014,16.13,0.019,0.341,0.023600847
3386,1,296.38163,-14.80895,16.591,0.016,16.242,0.021,0.349,0.026400758
3387,1,296.37817,-14.84258,16.548,0.015,16.171,0.02,0.377,0.025
3390,1,296.14109,-14.87149,16.565,0.018,16.094,0.02,0.471,0.026907248
3393,1,296.1741,-14.65629,16.498,0.016,16.065,0.017,0.433,0.023345235
3400,1,296.39908,-14.64257,16.612,0.017,16.228,0.019,0.384,0.025495098
3403,1,296.18474,-14.86214,16.43,0.016,15.975,0.018,0.455,0.024083189
3412,1,296.1267,-14.74363,16.318,0.015,15.985,0.018,0.333,0.023430749
3423,1,296.17999,-14.71917,16.521,0.016,16.138,0.018,0.383,0.024083189
3426,1,296.14871,-14.66714,16.675,0.018,16.16,0.019,0.515,0.026172505
3428,1,296.42007,-14.77957,16.586,0.016,16.079,0.019,0.507,0.024839485
3431,1,296.21808,-14.82956,16.485,0.017,16.155,0.021,0.33,0.027018512
